klub: RB_Leipzig
sezona: 2024/2025

rBr datPocetka imeTimaGosti tipUlaznice datIVremeUlaska
13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_14:30
13 13/8/2024_15:30 1._FC_Köln S 13/8/2024_14:36
13 13/8/2024_15:30 1._FC_Köln S 13/8/2024_14:38
13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_14:45
13 13/8/2024_15:30 1._FC_Köln P 13/8/2024_14:53
13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_14:58
13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_15:10
13 13/8/2024_15:30 1._FC_Köln O 13/8/2024_15:21
22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:30
22 27/8/2024_15:30 VfL_Wolfsburg P 27/8/2024_14:37
22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:38
22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:50
22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_14:55
22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_15:10
22 27/8/2024_15:30 VfL_Wolfsburg O 27/8/2024_15:14
24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_14:31
24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_14:35
24 10/9/2024_15:30 Bor._Dortmund O 11/9/2024_14:38
24 10/9/2024_15:30 Bor._Dortmund S 10/9/2024_14:47
24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_15:01
24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_15:08
24 10/9/2024_15:30 Bor._Dortmund O 10/9/2024_15:10
24 10/9/2024_15:30 Bor._Dortmund P 10/9/2024_15:21
24 10/9/2024_15:30 Bor._Dortmund S 10/9/2024_15:32
8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:34
8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:40
8 1/10/2024_15:30 VfL_Bochum O 1/10/2024_14:51
8 1/10/2024_15:30 VfL_Bochum S 1/10/2024_14:58
8 1/10/2024_15:30 VfL_Bochum P 1/10/2024_14:59
51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:45
51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:47
51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:58
51 15/10/2024_18:30 Hertha_BSC O 15/10/2024_17:59
51 15/10/2024_18:30 Hertha_BSC P 15/10/2024_18:00
26 29/10/2024_15:30 B_Leverkusen O 29/10/2024_14:46
26 29/10/2024_15:30 B._Leverkusen S 29/10/2024_14:55
26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:05
26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:08
26 29/10/2024_15:30 B._Leverkusen P 29/10/2024_15:23
26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:31
26 29/10/2024_15:30 B._Leverkusen O 29/10/2024_15:34
17 9/11/2024_20:30 SC_Freiburg O 9/11/2024_19:40
17 9/11/2024_20:30 SC_Freiburg P 9/11/2024_19:58
17 9/11/2024_20:30 SC_Freiburg O 9/11/2024_20:00
17 9/11/2024_20:30 SC_Freiburg S 9/11/2024_20:23
